ссылка,комнаты,площадь,этаж,цена в месяц,залог,комиссия,ЖКУ и счетчики,адрес,станция метро,шаговая доступность,ссылка на агенство,агенство,количество завершенных сделок ,реквизиты статус
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_85_m_717_et._4010252811,3-к. квартира,85 м²,7/17 эт.,75 000  , 75 000 , 50%,ЖКУ 7 000 ₽ + счетчики,"ул. Грина, 1к3",Бульвар Дмитрия Донского,11–15 мин.,https://www.avito.ru/user/e1f894ca78126221eb8c56b1b7fdd71e/profile?src=search_seller_info,Grand Tower,22708,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_25_m_112_et._3837383196,Апартаменты-студия,25 м²,1/12 эт.,35 000  , 35 000 ,0%,ЖКУ включены без счетчиков,"ул. Николая Химушина, 13к3",Бульвар Рокоссовского,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_15_m_45_et._3602011807,Квартира-студия,15 м²,4/5 эт.,36 000  , 36 000 ,0%,ЖКУ включены без счетчиков,"Химкинский б-р, 19к2",Сходненская,до 5 мин.,https://www.avito.ru/user/b4727971937f73e77b42db0b4867cb3a/profile?src=search_seller_info,Екатерина,141,Документы проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_45_m_712_et._3885966973,1-к. квартира,45 м²,7/12 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"ул. Академика Челомея, 8к1",Калужская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_867_m_921_et._3923872265,2-к. квартира,"86,7 м²",9/21 эт.,78 000  , 39 000 , 44%,ЖКУ включены без счетчиков,"Люблинская ул., 179/1",Марьино,6–10 мин.,https://www.avito.ru/user/b941150141f770da7c8f04e7ae0239fe/profile?src=search_seller_info,КБМ,191,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_41_m_415_et._3841375984,1-к. квартира,41 м²,4/15 эт.,45 000  , 22 500 ,0%,ЖКУ включены без счетчиков,"Саларьевская ул., 14к3",Саларьево,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_112_et._3960292443,1-к. квартира,35 м²,1/12 эт.,36 000  , 36 000 , 80%,ЖКУ включены без счетчиков,"ул. Бутлерова, 14к2",Беляево,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_19_m_517_et._2681873481,Квартира-студия,19 м²,5/17 эт.,35 000  , 35 000 , 50%,ЖКУ включены без счетчиков,"ул. Александры Монаховой, 89к1",Коммунарка,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_75_m_1032_et._3125106530,2-к. квартира,75 м²,10/32 эт.,80 000  , 80 000 ,0%,ЖКУ включены без счетчиков,"Дубнинская ул., 40Ак3",Яхромская,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_45_m_2224_et._4009998169,1-к. квартира,45 м²,22/24 эт.,70 000  , 70 000 , 50%,ЖКУ 5 000 ₽ + счетчики,"Тагильская ул., 4А",Бульвар Рокоссовского,16–20 мин.,https://www.avito.ru/user/e1f894ca78126221eb8c56b1b7fdd71e/profile?src=search_seller_info,Grand Tower,22708,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_724_m_714_et._2312627708,3-к. квартира,"72,4 м²",7/14 эт.,90 000  ,,,,Залог 90 000 ₽ · Без комиссии · ЖКУ 8 000 ₽ + счетчики,"2-я Мелитопольская ул., 21к2",21–30 мин.,,21 час назад,,Онлайн-показ
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_815_et._3824709253,1-к. квартира,40 м²,8/15 эт.,89 999  , 89 999 , 75%,ЖКУ включены без счетчиков,"пр-т Лихачёва, 18к6",Технопарк,11–15 мин.,https://www.avito.ru/user/f76a2f77e34923187aa0760a25c01408/profile?src=search_seller_info,"ООО ""АН Элитный Дом"".",1935,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_15_et._3702029918,2-к. квартира,45 м²,1/5 эт.,40 000  , 80 000 ,0%,ЖКУ 5 000 ₽ + счетчики,"ул. Каховка, 21к1",Зюзино,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_40_m_715_et._3688086480,2-к. апартаменты,40 м²,7/15 эт.,75 000  , 75 000 ,0%,ЖКУ 7 000 ₽ + счетчики,"Автозаводская ул., 23с120",ЗИЛ,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_30_m_836_et._2608597749,Апартаменты-студия,30 м²,8/36 эт.,75 000  , 75 000 ,0%,ЖКУ включены без счетчиков,"Шелепихинская наб., 34к4",Шелепиха,16–20 мин.,https://www.avito.ru/user/4b7a21c5c7551e94ba414d64596d1141/profile?src=search_seller_info,Equestrian byRideMe,13,Документы проверены
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_25_m_722_et._3877299950,Квартира-студия,25 м²,7/22 эт.,42 000  , 42 000 ,0%,Все ЖКУ включены,"Родниковая ул., 30к1",Саларьево,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_912_et._4290078486,1-к. квартира,35 м²,9/12 эт.,50 000  , 50 000 , 50%,ЖКУ включены без счетчиков,"Волгоградский пр-т, 71к1",Текстильщики,6–10 мин.,https://www.avito.ru/user/ebaf8788f33b450f902a204d6e6c88de/profile?src=search_seller_info,Парус,6234,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_50_m_79_et._4042514429,2-к. квартира,50 м²,7/9 эт.,55 000  , 55 000 , 50%,ЖКУ 5 000 ₽ + счетчики,"Байкальская ул., 26/10",Щёлковская,6–10 мин.,https://www.avito.ru/user/e1f894ca78126221eb8c56b1b7fdd71e/profile?src=search_seller_info,Grand Tower,22708,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_37_m_1217_et._3688468174,1-к. квартира,37 м²,12/17 эт.,65 000  , 65 000 ,0%,ЖКУ 4 000 ₽ + счетчики,"Производственная ул., 10к1",Солнцево,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_451_m_29_et._3752861315,1-к. квартира,"45,1 м²",2/9 эт.,52 000  , 52 000 ,0%,ЖКУ включены без счетчиков,"ул. Островитянова, 41к1",Коньково,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_214_et._3823244181,1-к. квартира,39 м²,2/14 эт.,40 000  ,,,,Залог 40 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"Кустанайская ул., 7к3",6–10 мин.,,12 часов назад,,Только на Авито
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_516_m_28_et._2119658054,2-к. квартира,"51,6 м²",2/8 эт.,120 000  ,,,,Залог 120 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"Большой Демидовский пер., 9",6–10 мин.,,2 часа назад,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_32_m_1559_et._3776604156,1-к. квартира,32 м²,15/59 эт.,65 000  , 65 000 , 50%,ЖКУ 5 000 ₽ + счетчики,"Дмитровский пр., 1",Дмитровская,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_32_m_59_et._4042459472,1-к. квартира,32 м²,5/9 эт.,45 000  , 45 000 , 60%,ЖКУ включены без счетчиков,"ул. 26 Бакинских Комиссаров, 8к4",Юго-Западная,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_55_m_317_et._3798759372,2-к. квартира,55 м²,3/17 эт.,60 000  , 60 000 , 60%,ЖКУ включены без счетчиков,"Балаклавский пр-т, 1",Чертановская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_43_m_25_et._3864450778,2-к. квартира,43 м²,2/5 эт.,40 000  , 40 000 ,0%,ЖКУ 5 000 ₽ + счетчики,"ул. Куусинена, 6к5",Полежаевская,6–10 мин.,https://www.avito.ru/user/c903ab38b86611110289772ec680e271/profile?src=search_seller_info,FlatRoom,2,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_44_m_45_et._899262887,2-к. квартира,44 м²,4/5 эт.,35 000  , 35 000 ,0%,ЖКУ включены без счетчиков,"Зелёный пр-т, 89к1",Новогиреево,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_59_m_39_et._3392231018,3-к. квартира,59 м²,3/9 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"ул. Подольских Курсантов, 16к3",Пражская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_347_m_212_et._3877237700,1-к. квартира,"34,7 м²",2/12 эт.,48 000  , 48 000 ,0%,ЖКУ включены без счетчиков,"ул. Василисы Кожиной, 12",Багратионовская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_13_m_15_et._3974378524,Квартира-студия,13 м²,1/5 эт.,32 000  , 32 000 ,0%,ЖКУ включены без счетчиков,"Минусинская ул., 11",Бабушкинская,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_44_m_35_et._3941927939,2-к. квартира,44 м²,3/5 эт.,40 000  , 40 000 ,0%,ЖКУ включены без счетчиков,"2-я Радиаторская ул., 12",Войковская,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_65_m_1315_et._2157075885,3-к. квартира,65 м²,13/15 эт.,50 000  ,0,0%,ЖКУ 5 ₽ + счетчики,"рп. Дрожжино, Южная ул., 7",Улица Скобелевская,от 31 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_473_m_1214_et._3907674207,2-к. квартира,"47,3 м²",12/14 эт.,45 000  , 45 000 ,0%,ЖКУ включены без счетчиков,"Старомарьинское ш., 2/10",Марьина Роща,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_36_m_316_et._2213150126,1-к. квартира,36 м²,3/16 эт.,48 000  ,,,,Залог 48 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"ул. Корнейчука, 51",21–30 мин.,,1 день назад,,Только на Авито
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_32_m_1012_et._2145182813,1-к. квартира,32 м²,10/12 эт.,50 000  , 50 000 ,0%,ЖКУ включены без счетчиков,"ул. Мусы Джалиля, 13",Шипиловская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_56_m_1012_et._3954888526,3-к. квартира,56 м²,10/12 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"Алтуфьевское ш., 58А",Бибирево,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_816_et._3734429987,1-к. квартира,39 м²,8/16 эт.,31 000  , 31 000 ,0%,Все ЖКУ включены,"Липецкая ул., 46к1",Царицыно,от 31 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_31_m_25_et._3688295840,1-к. квартира,31 м²,2/5 эт.,46 000  , 46 000 ,0%,ЖКУ включены без счетчиков,"Волгоградский пр-т, 159к1",Кузьминки,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_446_m_15_et._3841087107,2-к. квартира,"44,6 м²",1/5 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"Жигулёвская ул., 12к2",Кузьминки,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_60_m_19_et._2569393338,3-к. квартира,60 м²,1/9 эт.,58 000  , 58 000 ,0%,ЖКУ включены без счетчиков,"Минусинская ул., 8",Бабушкинская,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_31_m_39_et._3808115990,1-к. квартира,31 м²,3/9 эт.,65 000  , 65 000 ,0%,ЖКУ включены без счетчиков,"ул. Панфёрова, 8",Университет,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_505_m_220_et._3959913000,1-к. квартира,"50,5 м²",2/20 эт.,100 000  , 100 000 ,0%,ЖКУ включены без счетчиков,"Большая Филёвская ул., 3к2",Фили,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_99_et._3661162886,1-к. квартира,39 м²,9/9 эт.,40 000  , 40 000 ,0%,ЖКУ включены без счетчиков,"Карельский б-р, 5",Лианозово,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_90_m_622_et._3711426419,2-к. квартира,90 м²,6/22 эт.,75 000  , 75 000 , 50%,ЖКУ 0 ₽ + счетчики,"Варшавское ш., 170Ек8",Лесопарковая,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_365_m_915_et._3734183734,2-к. апартаменты,"36,5 м²",9/15 эт.,75 000  , 75 000 ,0%,Все ЖКУ включены,"Автозаводская ул., 23с931к5",Технопарк,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_30_m_424_et._3823481010,1-к. квартира,30 м²,4/24 эт.,38 000  , 38 000 ,0%,ЖКУ 3 000 ₽ + счетчики,"рп. Новоивановское, б-р Эйнштейна, 3",,,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_43_m_1430_et._3222551689,1-к. квартира,43 м²,14/30 эт.,70 000  , 70 000 ,0%,ЖКУ 0 ₽ + счетчики,"Ореховый б-р, 24к4",Зябликово,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_40_m_79_et._3733919128,2-к. квартира,40 м²,7/9 эт.,70 000  , 70 000 ,0%,ЖКУ 4 500 ₽ + счетчики,"ул. Нижняя Масловка, 6к1",Савёловская,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_36_m_622_et._611195977,1-к. квартира,36 м²,6/22 эт.,50 000  , 50 000 ,0%,ЖКУ включены без счетчиков,"Коломенская ул., 3",Нагатинский затон,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_39_et._3734272347,1-к. квартира,33 м²,3/9 эт.,36 000  , 36 000 ,0%,Все ЖКУ включены,"Дорожная ул., 16к3",Пражская,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_30_m_35_et._2094664881,1-к. квартира,30 м²,3/5 эт.,35 000  , 35 000 ,100%,ЖКУ включены без счетчиков,"Вольная ул., 1",Семёновская,11–15 мин.,https://www.avito.ru/user/72cfc5838c6ac1efacb0cf91553d142f/profile?src=search_seller_info,"""СТОЛИЦА"" Департамент Недвижимости",11880,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_24_et._1261147173,1-к. квартира,39 м²,2/4 эт.,43 000  , 43 000 ,0%,ЖКУ включены без счетчиков,"Инженерная ул., 20к1",Бибирево,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_35_et._4044410216,2-к. квартира,45 м²,3/5 эт.,40 000  , 40 000 ,100%,ЖКУ включены без счетчиков,"15-я Парковая ул., 40к2",Щёлковская,16–20 мин.,https://www.avito.ru/user/236f74d55147ed85df809a87ffa27c8d/profile?src=search_seller_info,MOTYLEK - департамент недвижимости,4373,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_70_m_59_et._4041875414,2-к. квартира,70 м²,5/9 эт.,60 000  ,0, 50%,ЖКУ 5 000 ₽ + счетчики,"Каширское ш., 65к2",Домодедовская,11–15 мин.,https://www.avito.ru/user/e1f894ca78126221eb8c56b1b7fdd71e/profile?src=search_seller_info,Grand Tower,22708,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_32_m_517_et._3004579409,1-к. квартира,32 м²,5/17 эт.,33 000  ,0, 60%,ЖКУ включены без счетчиков,"ул. Вертолётчиков, 4к8",Некрасовка,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_59_m_817_et._3888465526,2-к. квартира,59 м²,8/17 эт.,65 000  , 65 000 ,0%,ЖКУ включены без счетчиков,"ул. Олеко Дундича, 13к2",Багратионовская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_2325_et._2658435003,1-к. квартира,40 м²,23/25 эт.,50 000  , 50 000 ,0%,ЖКУ включены без счетчиков,"рп. Дрожжино, Южная ул., 7",Улица Скобелевская,от 31 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_583_m_218_et._4041774871,2-к. квартира,"58,3 м²",2/18 эт.,65 000  , 65 000 , 50%,ЖКУ включены без счетчиков,"Братиславская ул., 26",Братиславская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_45_m_1114_et._1909871191,1-к. квартира,45 м²,11/14 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"Жигулёвская ул., 6к3",Кузьминки,6–10 мин.,https://www.avito.ru/user/bea8563eafd56ec12904b493f81be892/profile?src=search_seller_info,Анна,2,Документы проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_1012_et._3823205673,1-к. квартира,40 м²,10/12 эт.,48 000  , 48 000 , 20%,Все ЖКУ включены,"Кунцевская ул., 13/6",Молодёжная,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_82_m_48_et._3767508630,3-к. квартира,82 м²,4/8 эт.,73 000  , 73 000 ,0%,ЖКУ включены без счетчиков,"Авиамоторная ул., 28/6",Авиамоторная,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_42_m_814_et._3807651714,1-к. квартира,42 м²,8/14 эт.,38 000  , 38 000 , 50%,ЖКУ включены без счетчиков,"Новоорловская ул., 8к1",Новопеределкино,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_50_m_710_et._4178194334,2-к. квартира,50 м²,7/10 эт.,55 000  , 55 000 ,0%,ЖКУ 7 000 ₽ + счетчики,"ул. Ивана Сусанина, 4к1",Селигерская,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_535_m_2733_et._3753430300,2-к. квартира,"53,5 м²",27/33 эт.,78 000  , 78 000 ,0%,ЖКУ включены без счетчиков,"Новохохловская ул., 15к1",Новохохловская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_267_m_79_et._4257596372,1-к. квартира,"26,7 м²",7/9 эт.,35 000  , 35 000 ,0%,ЖКУ включены без счетчиков,"ул. Сталеваров, 32",Новогиреево,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_47_m_55_et._3687818646,2-к. квартира,47 м²,5/5 эт.,43 000  , 43 000 , 50%,Все ЖКУ включены,"Ивантеевская ул., 28к2",Бульвар Рокоссовского,до 5 мин.,https://www.avito.ru/user/a01f6393f2f68c78f56c9fc0809b0393/profile?src=search_seller_info,"Агентство недвижимости ""Мой Дом""",16243,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_16_m_33_et._3687945916,Квартира-студия,16 м²,3/3 эт.,20 000  , 10 000 ,0%,ЖКУ включены без счетчиков,"Юго-Восточный административный округ, район Некрасовка, посёлок Некрасовка, 805",Некрасовка,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_23_m_417_et._3973706541,Квартира-студия,23 м²,4/17 эт.,46 000  , 46 000 ,0%,Все ЖКУ включены,"Варшавское ш., 2",Тульская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_236_m_317_et._3827881241,Квартира-студия,"23,6 м²",3/17 эт.,45 000  , 45 000 , 66%,ЖКУ включены без счетчиков,"Цимлянская ул., 3к2",Люблино,11–15 мин.,https://www.avito.ru/user/b941150141f770da7c8f04e7ae0239fe/profile?src=search_seller_info,КБМ,191,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_30_m_1012_et._3833037696,1-к. квартира,30 м²,10/12 эт.,38 000  , 19 000 , 50%,ЖКУ включены без счетчиков,"Ангарская ул., 39",Яхромская,16–20 мин.,https://www.avito.ru/user/df8423b48782ab5a9afe7856eb58a233/profile?src=search_seller_info,ДМИТРИЙ,330,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_2633_et._2343235180,Апартаменты-студия,18 м²,26/33 эт.,35 000  ,0, 30%,Все ЖКУ включены,"Красногорск, ул. Липовой Рощи, 1к1",Строгино,21–30 мин.,https://www.avito.ru/user/2b369054e45f01ec3ce0c97d4b1b6175/profile?src=search_seller_info,Best Apart,108,Документы проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_36_m_1417_et._2517628524,1-к. квартира,36 м²,14/17 эт.,37 000  , 37 000 , 50%,ЖКУ включены без счетчиков,"Новороссийская ул., 25к1",Люблино,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_54_m_916_et._2818659591,2-к. квартира,54 м²,9/16 эт.,47 000  , 47 000 , 50%,ЖКУ включены без счетчиков,"Братиславская ул., 27к3",Братиславская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_63_m_45_et._3823411948,3-к. квартира,63 м²,4/5 эт.,90 000  , 90 000 ,0%,ЖКУ 7 000 ₽ + счетчики,"Старопетровский пр., 12к7",Войковская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_285_m_232_et._2165420701,1-к. квартира,"28,5 м²",2/32 эт.,52 000  , 52 000 ,0%,ЖКУ 3 500 ₽ + счетчики,"пр-т Будённого, 51к5",Шоссе Энтузиастов,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_365_m_39_et._3886600393,1-к. квартира,"36,5 м²",3/9 эт.,40 000  , 40 000 , 50%,ЖКУ 3 000 ₽ + счетчики,"Черноморский б-р, 7к1",Чертановская,6–10 мин.,https://www.avito.ru/user/a110fc65a3233d58182346fad5fca957/profile?src=search_seller_info,Роман,2,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_35_m_14_et._3825071267,Квартира-студия,35 м²,1/4 эт.,30 000  ,0,0%,ЖКУ 2 000 ₽ + счетчики,"Красноярская ул., 1",Щёлковская,от 31 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_20_m_833_et._3974108791,Квартира-студия,20 м²,8/33 эт.,53 000  , 53 000 ,0%,ЖКУ включены без счетчиков,"Перовское ш., 2к2",Нижегородская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_412_et._1053738174,1-к. квартира,35 м²,4/12 эт.,45 000  , 45 000 ,0%,ЖКУ 800 ₽ + счетчики,"Знаменская ул., 38к1",Преображенская площадь,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_49_et._3961635211,1-к. квартира,35 м²,4/9 эт.,40 000  , 40 000 , 65%,ЖКУ включены без счетчиков,"ул. Героев Панфиловцев, 6к1",Сходненская,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_374_m_1116_et._2601219982,1-к. квартира,"37,4 м²",11/16 эт.,35 000  , 35 000 ,0%,ЖКУ 5 000 ₽ + счетчики,"Кантемировская ул., 12к2",Кантемировская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_40_m_68_et._2487676592,2-к. квартира,40 м²,6/8 эт.,40 000  , 40 000 ,0%,ЖКУ 15 ₽ + счетчики,"ул. Бориса Галушкина, 20",ВДНХ,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_73_m_415_et._3837914172,3-к. квартира,73 м²,4/15 эт.,75 000  , 75 000 ,0%,ЖКУ включены без счетчиков,"ул. Лихоборские Бугры, 12",Лихоборы,6–10 мин.,https://www.avito.ru/user/db3922946a763e0b546ba6151866764d/profile?src=search_seller_info,Ольга,6,Документы проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_62_m_44_et._2935019007,3-к. квартира,62 м²,4/4 эт.,62 000  , 62 000 ,0%,ЖКУ включены без счетчиков,"Кольская ул., 13",Свиблово,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_20_m_1516_et._2125534165,Апартаменты-студия,20 м²,15/16 эт.,45 000  , 45 000 , 40%,ЖКУ включены без счетчиков,"Алтуфьевское ш., 2",Владыкино,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_25_m_517_et._2404264340,Апартаменты-студия,25 м²,5/17 эт.,70 000  , 70 000 ,0%,ЖКУ включены без счетчиков,"Ленинградский пр-т, 35с2",Динамо,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_42_m_1017_et._3753234898,1-к. квартира,42 м²,10/17 эт.,33 000  , 33 000 , 50%,ЖКУ включены без счетчиков,"рп. Дрожжино, Новое ш., 12к2",Улица Скобелевская,от 31 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_60_m_1824_et._3587440778,2-к. квартира,60 м²,18/24 эт.,65 000  , 65 000 ,0%,ЖКУ включены без счетчиков,"пос. Битца, жилой комплекс Южная Битца, Южный б-р, 5",Улица Старокачаловская,от 31 мин.,https://www.avito.ru/user/22a7f71b83290e003ec1803b37e9f40b/profile?src=search_seller_info,Джони,16,Документы проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_47_m_25_et._3153538137,2-к. квартира,47 м²,2/5 эт.,47 000  , 23 500 , 65%,ЖКУ включены без счетчиков,"Смольная ул., 21к1",Водный стадион,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_15_et._3961769963,2-к. квартира,45 м²,1/5 эт.,68 000  , 68 000 ,0%,ЖКУ включены без счетчиков,"ул. Шумкина, 9",Сокольники,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_25_m_13_et._3802984183,1-к. апартаменты,25 м²,1/3 эт.,30 000  , 15 000 , 60%,Все ЖКУ включены,"Восточный административный округ, район Восточный, Западная ул., 1",Щёлковская,от 31 мин.,https://www.avito.ru/user/51313f86523d1b05a79b3642c1c32e43/profile?src=search_seller_info,ДОСТУПНАЯ  МОСКВА,20079,Документы проверены
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_35_m_1213_et._3924358752,Апартаменты-студия,35 м²,12/13 эт.,90 000  , 90 000 ,0%,ЖКУ включены без счетчиков,"Ходынский б-р, 20А",ЦСКА,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_55_et._3888188638,2-к. квартира,45 м²,5/5 эт.,42 000  , 21 000 ,0%,ЖКУ включены без счетчиков,"Ярцевская ул., 23",Молодёжная,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_15_et._2091630825,1-к. квартира,33 м²,1/5 эт.,48 000  , 48 000 ,0%,Все ЖКУ включены,"ул. Маршала Бирюзова, 8к4",Октябрьское поле,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_572_m_49_et._3807809542,3-к. квартира,"57,2 м²",4/9 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"Бирюлёвская ул., 52к3",Царицыно,от 31 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_70_m_55_et._3899225168,3-к. квартира,70 м²,5/5 эт.,64 000  ,0,0%,Все ЖКУ включены,"пос. Дубровский, ул. Турова, 12А",Аннино,от 31 мин.,https://www.avito.ru/user/934fb508d6a86abd6f0c88c32027d0b9/profile?src=search_seller_info,Яндекс Аренда,40123,Реквизиты проверены
